model,gene,variable,estimate,pval,sigma,contrast,FDR,label
lmekin.contrast,TIMP1,contrast,0.22549227694379617,0.022728659242368898,NA,MEDIA_RSTR - MEDIA_LTBI,0.1568277487723454,RSTR - LTBI in media
lmekin.contrast,TMEM245,contrast,-0.1050197896448331,0.19544524955626222,NA,TB_RSTR - TB_LTBI,0.22476203698970154,RSTR - LTBI in Mtb
lmekin.contrast,TMEM245,contrast,-0.036213581749097994,0.5122186311596686,NA,MEDIA_RSTR - MEDIA_LTBI,0.6668506707550402,RSTR - LTBI in media
lmekin.contrast,TNFRSF1B,contrast,0.5168277121655889,0.003173081964694819,NA,TB_RSTR - TB_LTBI,0.009703842360618819,RSTR - LTBI in Mtb
lmekin.contrast,TNFRSF1B,contrast,0.05547553283064348,0.506334027063469,NA,MEDIA_RSTR - MEDIA_LTBI,0.6668506707550402,RSTR - LTBI in media
lmekin.contrast,TNFRSF25,contrast,-1.0069505049093843,8.97692215556026e-4,NA,TB_RSTR - TB_LTBI,0.004764674067181984,RSTR - LTBI in Mtb
lmekin.contrast,TNFRSF25,contrast,-0.7603202047607601,0.053246542096943315,NA,MEDIA_RSTR - MEDIA_LTBI,0.23941208268786035,RSTR - LTBI in media
lmekin.contrast,TSHZ2,contrast,-1.26751932761514,3.727521590384868e-4,NA,TB_RSTR - TB_LTBI,0.002857766552628399,RSTR - LTBI in Mtb
lmekin.contrast,TSHZ2,contrast,-1.7686618195309134,5.04229627096247e-6,NA,MEDIA_RSTR - MEDIA_LTBI,3.4791844269641047e-4,RSTR - LTBI in media
lmekin.contrast,TTC12,contrast,-0.2896480737047808,0.06434068853516267,NA,TB_RSTR - TB_LTBI,0.08537514440242738,RSTR - LTBI in Mtb
lmekin.contrast,TTC12,contrast,-0.0597906068188025,0.5870913816269439,NA,MEDIA_RSTR - MEDIA_LTBI,0.7233804523617702,RSTR - LTBI in media
lmekin.contrast,UBD,contrast,-0.9458090837244048,0.09767487783574853,NA,TB_RSTR - TB_LTBI,0.1225375740121209,RSTR - LTBI in Mtb
lmekin.contrast,UBD,contrast,-0.3487855875192532,0.4506159501111726,NA,MEDIA_RSTR - MEDIA_LTBI,0.6477604282848106,RSTR - LTBI in media
lmekin.contrast,ZDHHC14,contrast,-0.05138348522173331,0.7805457269203845,NA,TB_RSTR - TB_LTBI,0.8160250781440382,RSTR - LTBI in Mtb
lmekin.contrast,ZDHHC14,contrast,-0.03187808199545213,0.7489604175797755,NA,MEDIA_RSTR - MEDIA_LTBI,0.8699072283114476,RSTR - LTBI in media
lmekin.contrast,ZEB2,contrast,0.27408057628002924,0.0020750397488554077,NA,TB_RSTR - TB_LTBI,0.008422220157119006,RSTR - LTBI in Mtb
lmekin.contrast,ZEB2,contrast,0.10437453312404164,0.0589855855897627,NA,MEDIA_RSTR - MEDIA_LTBI,0.23941208268786035,RSTR - LTBI in media
